close_price,date,high_price,low_price,open_price,price_history_id,ticker_symbol,volume
154.6300,2025-09-24,154.8750,154.4600,154.7500,216,MMM,244163
153.0400,2025-09-25,153.0750,152.3850,152.5600,217,MMM,417732
152.7700,2025-09-26,152.8700,152.4700,152.7000,218,MMM,453466
154.0700,2025-09-29,154.4000,153.7600,154.2500,219,MMM,276692
155.1800,2025-09-30,155.2000,154.0500,154.6650,220,MMM,387337
156.0400,2025-10-01,156.3250,155.8300,156.1885,221,MMM,278105
158.8100,2025-10-02,158.8900,158.0300,158.8500,222,MMM,445635
158.6600,2025-10-03,159.0000,158.1300,158.6500,223,MMM,469071
155.9400,2025-10-06,156.1900,155.4750,155.8000,224,MMM,408206
155.3300,2025-10-07,155.7500,155.1800,155.4550,225,MMM,284945
155.9800,2025-10-08,156.0900,155.7300,155.8050,226,MMM,258694
152.8800,2025-10-09,152.9300,152.1100,152.1550,227,MMM,408040
148.8000,2025-10-10,149.3200,148.4550,149.3100,228,MMM,575645
151.1100,2025-10-13,151.4100,150.8500,151.2200,229,MMM,573108
152.4900,2025-10-14,153.2100,152.1400,153.2100,230,MMM,534678
153.4900,2025-10-15,153.9500,153.2100,153.9300,231,MMM,396326
151.4100,2025-10-16,151.7000,151.1800,151.6600,232,MMM,704602
152.6700,2025-10-17,152.7900,152.4100,152.7050,233,MMM,581844
154.8100,2025-10-20,156.0700,154.5900,156.0000,234,MMM,793693
166.6700,2025-10-21,166.8200,164.8000,164.8000,235,MMM,1232351
167.2500,2025-10-22,167.4500,166.3900,166.8200,236,MMM,830415
171.6000,2025-10-23,171.6300,170.6115,170.7800,237,MMM,1117597
168.4700,2025-10-24,168.6800,168.0650,168.5300,238,MMM,692810
168.3500,2025-10-27,168.4600,168.0600,168.2000,239,MMM,529089
166.8200,2025-10-28,166.8700,166.3500,166.6300,240,MMM,510797
164.6200,2025-10-29,164.7400,163.6100,164.4000,241,MMM,678985
166.4400,2025-10-30,166.5400,166.2350,166.4500,242,MMM,421396
166.4600,2025-10-31,167.2200,166.3400,167.0500,243,MMM,384119
162.2000,2025-11-03,162.7700,161.4850,162.5250,244,MMM,805801
160.5700,2025-11-04,161.4800,160.1800,161.3300,245,MMM,634353
164.2900,2025-11-05,164.8250,164.2100,164.3550,246,MMM,667351
163.8900,2025-11-06,164.4200,163.7050,164.0000,247,MMM,435825
164.8000,2025-11-07,165.1800,164.3600,164.9300,248,MMM,470886
167.6300,2025-11-10,168.5600,167.5000,168.3300,249,MMM,482610
168.7300,2025-11-11,169.1000,168.5900,168.9675,250,MMM,361520
73.1500,2024-11-12,73.3550,73.0500,73.2800,1739,AOS,347549
73.1300,2024-11-13,73.2900,73.0200,73.1700,1740,AOS,229786
73.0000,2024-11-14,73.3450,72.9200,73.3300,1741,AOS,196369
72.2500,2024-11-15,72.4150,72.2000,72.3800,1742,AOS,243935
72.1500,2024-11-18,72.2600,72.0300,72.1600,1743,AOS,207988
71.4200,2024-11-19,71.4600,71.2550,71.3600,1744,AOS,257523
71.7600,2024-11-20,71.9300,71.5800,71.5800,1745,AOS,198934
72.9700,2024-11-21,73.5600,72.9100,73.3800,1746,AOS,275175
73.4200,2024-11-22,73.5700,73.3500,73.4100,1747,AOS,140474
75.4300,2024-11-25,75.5900,75.3500,75.4900,1748,AOS,158218
